iso3,iso3,country,disaggregation,disagg.value,region,subregion,section,environmental_impacts_land_use,environmental_impacts_freshwater_use,environmental_impacts_ghg_emissions_lifecycle,environmental_impacts_nitrogen_application,environmental_impacts_phosphorus_application,planetary_impacts_Cropland,planetary_impacts_Freshwater,planetary_impacts_Greenhouse gases,planetary_impacts_Nitrogen,planetary_impacts_Phosphorus
BEN,BEN,Benin,food.group,fish,Africa,Western Africa,Environmental Impacts,0.0579537,0.0191774,0.808135,2.08497,0.440494,1.30589,0.615793,0.18963,1.75492,1.85473
BEN,BEN,Benin,food.group,fruit_veg,Africa,Western Africa,Environmental Impacts,1.837,0.256097,3.5799,11.064,1.88255,8.15021,13.9909,1.83495,14.66,11.413
BEN,BEN,Benin,food.group,grains,Africa,Western Africa,Environmental Impacts,9.23245,0.0848746,7.89266,25.0376,3.67116,22.0225,13.5594,2.54421,29.7723,22.5029
BEN,BEN,Benin,food.group,legumes,Africa,Western Africa,Environmental Impacts,2.64424,0.00674662,0.335843,,,9.69387,5.96568,0.762999,,
BEN,BEN,Benin,food.group,milk,Africa,Western Africa,Environmental Impacts,1.68978,0.00712624,0.643373,1.51413,0.312969,1.97,0.611786,4.53538,1.4473,1.58453
BEN,BEN,Benin,food.group,nuts_seeds,Africa,Western Africa,Environmental Impacts,2.09551,0.00542738,0.370604,0.0271948,0.00386426,9.78582,5.2297,1.8046,4.58866,3.72189
BEN,BEN,Benin,food.group,oils,Africa,Western Africa,Environmental Impacts,2.1767,0.0239782,1.08016,2.25652,0.468152,5.11339,1.10506,2.61355,4.20319,4.46448
BEN,BEN,Benin,food.group,pork_poultry,Africa,Western Africa,Environmental Impacts,9.32304,0.27401531,1.624916,0.614636,0.8446468,8.668717,3.086684,4.164845,8.382943,6.820239
BEN,BEN,Benin,food.group,roots,Africa,Western Africa,Environmental Impacts,11.9497,0.0257748,9.13286,4.24419,0.593691,15.9622,14.5057,4.46251,17.9671,18.2715
BEN,BEN,Benin,food.group,sugar,Africa,Western Africa,Environmental Impacts,0.441109,0.205074,0.586564,2.16328,0.36993,1.48638,7.61332,0.35352,3.92348,3.04888
